Models,Boeing 777-200,Boeing 777-300,Boeing 747-200,Boeing 737-700,Boeing 737-800,Boeing 737-300ER,Boeing 767,Boeing 737-600,Boeing 737-700,Boeing 737-700C,Boeing 737-800,Boeing 737-900,Boeing 767-300,Boeing 757,Boeing 787-8,Boeing 747,Boeing 747-400,Boeing 747-400D,Boeing 747-400F,Boeing 747SP,Boeing 747SR,Aerostar PA60-601P,Aerostar PA60-602P,Aerostar PA60-700P,Airbus A320,Airbus A320-111,Airbus A320-211,Airbus A320-212,Airbus A320-214,Airbus A320-232,Airbus A320-233
"Boeing (777-200 series, 777-300 series)",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (747-400 series),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (777-200 Series),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boeing (737-700 SERIES, 737-800 SERIES)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (777-300ER Series),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (767 Series),0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boeing (737-600 Series, 737-700 Series, 737-700C Series, 737-800 Series, 737-900 Series)",0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (767-300 Series),0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (757 Series),0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (787-8),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (737-800 SERIES),0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (737-700 SERIES),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (747 Series),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boeing (B747-400 Series),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Boeing (747-400 SERIES, 747-400D SERIES, 747-400F SERIES, 747SP SERIES, 747SR SERIES)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"Aerostar Aircraft (PA-60-601P, -602P, -700P)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
"Airbus (, A320, -111, -211, -212, -214, -231, -232, -233)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328 Support Services GmbH (328-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328 Support Services GmbH (Do328-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328 Support Services GmbH (Dornier Model 328-100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"328 Support Services GmbH (Dornier Model 328-100, Dornier Model 328-300)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"328 Support Services GmBH (Dornier Model 328-300 With Honeywell APU Model GTCP36-150[DD] Installed.),Embraer (EMB-120 With Honeywell APU Model GTCP36-150[A] or GTCP36-150[AA] Installed.),BAE Systems (BAe 146-200A, Avro 146-RJ70A, Avro 146-RJ85A & Avro 146",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
