"","r","Freq"
"1","",13
"2","-10F",1
"3","-11F",1
"4","-15",1
"5","-18""125""",1
"6","-18""135""",1
"7","-18""150""",1
"8","-18A",1
"9","-18A-135, -18S-135, -18AS-135, -18-150, -18A-150, -18S-150, -18AS-150, -19 Army L-18C",1
"10","-18A ""135"", -18S ""135"", PA-18AS ""135"", -18 ""150"", -18A ""150"", -18S ""150"", -18AS ""150"", -19 Army L-18C",1
"11","-18A “135”, -18S “135”, -18AS “135”, -18 “150”, -18A “150”, -18S “150”, -18AS “150”, -19 Army L-18C",1
"12","-18A “135”, -18S “135”, -18AS “135”, -18 “150”, -18A “150”, -18S “150”, -18AS “150”, -19 Army L-21C",1
"13","-18A""125""",1
"14","-18A""135""",1
"15","-18A""150""",1
"16","-18A""150"" [Restricted]",1
"17","-18AS""125""",1
"18","-18AS""135""",1
"19","-18S-125, -18AS-125, -18-135 Army L-21B",1
"20","-18S ""125"", -18AS ""125"", -18 ""135"" Army L-21B",1
"21","-18S “125”, -18 “135” Army L-21B",1
"22","-18S “125”, -18AS “125”, -18 “135” Army L-21B",2
"23","-18S “135”, -18 “150”, -18S “150”, -19 Army L-18C",1
"24","-18S""105"" [Spec]",1
"25","-18S""125""",1
"26","-18S""135""",1
"27","-19",1
"28","-19S",2
"29","-33F",6
"30","-34",6
"31","-34F",6
"32","-40",2
"33","-40 -40F",1
"34","-40F",3
"35","-41",6
"36","-51",4
"37","-51 with STC ST165CH installed",2
"38","-81",2
"39","-82",2
"40","-82  MD-82 ",1
"41","-82 MD-82",8
"42","-83",2
"43","-83  MD-83 ",1
"44","-83 MD-83",8
"45","-87",2
"46","-87  MD -87 ",1
"47","-87 MD-87",8
"48","-87 MD-88",1
"49","-88",1
"50"," -19S",3
"51"," -82",1
"52"," 369H",2
"53"," B747-400 B747SP B757-200 B767 [all series] B777 [all series]] Airbus [A318 A319 A320 A321 A330 [all series] A340 [all series]",1
"54"," BAe.125 Series 800B",1
"55"," CH54A",1
"56"," CL-600-2B19",2
"57"," CL-600-2C10 CRJ 700 Series",1
"58"," CL600-2A12  CL600-1A11 ",1
"59"," D45 ",1
"60"," DC-10-40",1
"61"," GTCP-36-150 RJ APU is installed.",1
"62"," GTCP36-150 APU is installed",1
"63"," GTCP36-150[RJ] APU is installed",2
"64"," IB75A E75N1",1
"65"," M10",1
"66"," MD-88",24
"67"," MD-88 MD-90-30",1
"68"," MD-88 Series",1
"69"," MD-90-30",1
"70"," MD88",12
"71"," P4000",1
"72"," PA-19S",1
"73"," PA19S",1
"74"," Per TCDS A-783 modified per Goodrich STC SA1-546",1
"75"," PW2040",1
"76"," Saab 340B",2
"77"," SAAB 340B",11
"78"," When Honeywell GTCP36-280[D] APU is installed",1
"79"," With STC ST01832SE",1
"80",",  , , CL-600-2B19 440",2
"81",",  , , CL-600-2B19 Regional Jet Series 100",2
"82",",  , , CL-600-2B19440",1
"83",",  , , CL-600-2B19Regional Jet Series 100",1
"84",",  , 65-A90-2 , 65-A90-3 , 65-A90-4   B90, C90, E90, H90 T-44A",1
"85",", CL-600-2B19 440",3
"86",", CL-600-2B19 REGIONAL JET SERIES 100",3
"87",", CL-600-2C10 701",1
"88",", CL-600-2C10 702",1
"89",", CL-600-2C10 REGIONAL JET SERIES 700",1
"90",", CL-600-2D24 REGIONAL JET SERIES 900",1
"91",", DC-9-83 MD - 83 ",1
"92",", DC-9-87 MD-87",1
"93",", DC - 9 - 83  MD - 83 ",1
"94",", PA-18A 135 , PA-18S 135 , PA-18AS 135 , PA-18 150 , PA-18S 150 , PA-18AS 150 , PA-19 Army L-18C",1
"95",", PA-18S 105 [Special] , PA-18A , PA-18 125 Army L-21A",2
"96",", PA-18S 125 , PA-18 135 Army L-21B",1
"97",", PA-18S 125 , PA-18AS 125 , PA-18 135 Army L-21B",2
"98",", PA -18S , PA -18 105 [Special] , PA -18S 105 [Special] , PA-18 125 Army L-21A",1
"99","[AMERICAN GENERAL AIRCRAFT HOLDING CO.] [TIGER AIRCRAFT",1
"100","[GULFSTREAM AMERICAN CORP]",1
"101","[LAKE AIRCRAFT CORP] LA-4",1
"102","[LAKE AIRCRAFT CORP] LA-4-200",1
"103","[LAKE AIRCRAFT CORP] LA-4A",1
"104","[LAKE AIRCRAFT CORP] LA-4P",1
"105","[Mooney] M10",1
"106","[Raytheon Aircraft Co.] (MILITARY L-23B",2
"107","[Raytheon Aircraft Co.] 35",2
"108","[Raytheon Aircraft Co.] 35-33",2
"109","[Raytheon Aircraft Co.] 35-A33",2
"110","[Raytheon Aircraft Co.] 35-B33",2
"111","[Raytheon Aircraft Co.] 35-C33",2
"112","[Raytheon Aircraft Co.] 35-C33A",1
"113","[Raytheon Aircraft Co.] 36",1
"114","[Raytheon Aircraft Co.] A35",2
"115","[Raytheon Aircraft Co.] B35",2
"116","[Raytheon Aircraft Co.] B50",2
"117","[Raytheon Aircraft Co.] C35",2
"118","[Raytheon Aircraft Co.] D35",2
"119","[Raytheon Aircraft Co.] E33",1
"120","[Raytheon Aircraft Co.] E33A",1
"121","[Raytheon Aircraft Co.] E35",2
"122","[Raytheon Aircraft Co.] F35",2
"123","[Raytheon Aircraft Co.] G35",2
"124","[Raytheon Aircraft Co.] H35",2
"125","[Raytheon Aircraft Co.] J35",2
"126","[Raytheon Aircraft Co.] K35",2
"127","[Raytheon Aircraft Co.] M35",2
"128","[Raytheon Aircraft Co.] N35",2
"129","[Raytheon Aircraft Co.] P35",2
"130","[Raytheon Aircraft Co.] S35",2
"131","[Raytheon Aircraft Co.] V35",1
"132","[Raytheon Aircraft Co.] V35A",1
"133","]",1
"134","] Airbus [A330-201, 202, -203, -223, -243, -301, -323, -342, -343 A46NM",1
"135","] Airbus [A340-211, -212, -213, -311, -312, -313, -541, -642 A43NM",1
"136","] Airbus [A340-312, -313,-541,-642 A43NM",1
"137","] Airbus [A340-312, -313,-541,-642, A43NM",1
"138","] Airbus Industrie [A319- 111, 112, 113, 114, 115, 131, 132, 133 A28NM",1
"139","] Airbus Industrie [A320- 111, 211, 212, 214, 231, 232, 233 A28NM",1
"140","] Airbus Industrie [A330-201, 202, -203, -223, -243, -301, -323, -342, -343 A46NM",1
"141","] Airbus Industrie [A340-211, -212, -213, -311, -312, -313, -541, -642 A43NM",1
"142","] Airbus Industrie [A340-312, -313,-541,-642 A43NM",1
"143","] Airbus Industrie [A340-312, -313, -541, -642 A43NM",1
"144","] Boeing [727",1
"145","] Boeing [727-200",1
"146","] Boeing [727-200F",1
"147","] Bombardier [CL-600-2D24 Regional Jet Series 900",2
"148","] Bombardier [CL-600-2E25 Regional Jet Series 1000",3
"149","] Bombardier, Inc. [CL-600-2C10 701",1
"150","] Bombardier, Inc. [CL-600-2C10 702",1
"151","] Bombardier, Inc. [CL-600-2C10 Regional Jet Series 700",1
"152","] Bombardier, Inc. [CL-600-2D24 Regional Jet Series 900",2
"153","] McDonnell Douglas [DC-8-71 UAL STC SA2713NM-D",1
"154","],McDonnell Douglas [DC-10 Series C",1
"155","],McDonnell Douglas [DC-10 Series D",1
"156","],McDonnell Douglas [DC-10 Series E",1
"157","],McDonnell Douglas [DC-10 Series P/N 707304B",1
"158","],McDonnell Douglas [DC-10 Series Sundstrand constant speed drive tran. mod. no. 90ADG01",1
"159","100",2
"160","1049C-55, 1049D-55, 1049E-55, 1049F-55 USAF C-121C",2
"161","1049G-82",2
"162","1049H-82",2
"163","17-30",1
"164","17-30A",1
"165","17-31",1
"166","17-31A",1
"167","17-31ATC",1
"168","17-31TC",1
"169","1721, P172D, R172E, T-41C",1
"170","1721, P172D, R172E, T-41D",1
"171","1721, P172D, R172E, USAF T-41B",1
"172","172G, 172H USAF T-41A",4
"173","172G, 172H, 172I, 172K, 172L, 172M, 172N, 172P, 175, 175A, 175B, 175C, P172D, R172E, R172F, R172G, R172H, T41C",1
"174","172G, 172H, 172I, 172K, 172L, 172M, 172N, 172P, 175, 175A, 175B, 175C, P172D, R172E, R172F, R172G, R172H, T41D",1
"175","172G, 172H, 172I, 172K, 172L, 172M, 172N, 172P, 175, 175A, 175B, 175C, P172D, R172E, R172F, R172G, R172H, USAF T-41B",1
"176","172I, 172K, 172L, 172M, 172N, 172P, 175B, 175C, P172D, R172E USAF T-41C",1
"177","172I, P172D, R172E T-41C",1
"178","172I, P172D, R172E T-41D",1
"179","172I, P172D, R172E USAF T-41B",1
"180","172P, Q, 172R, S, 172RG, R172 on",1
"181","172P, Q, 172R, S, 172RG, R172 S/N R1722725",1
"182","172RG",2
"183","172RG]",1
"184","172RG] CESSNA [REIMS AVIATION S.A.] [F172H",1
"185","182K , 182Q on",1
"186","182K , 182Q S/N 18265966",1
"187","182Q",1
"188","182R",1
"189","182S",1
"190","195",1
"191","195A",1
"192","195B",1
"193","200",1
"194","200C",1
"195","200CT",1
"196","200T",1
"197","2040",3
"198","206 A",1
"199","206B",1
"200","206B-1",2
"201","206H",1
"202","206L",1
"203","206L-1",1
"204","206L-3",1
"205","206L-4",1
"206","210B",1
"207","210C",1
"208","210D",1
"209","210E",1
"210","210F",1
"211","210G",1
"212","210H",1
"213","210J",1
"214","217",1
"215","217A",1
"216","217C",1
"217","219",1
"218","2240",3
"219","2337",3
"220","300",1
"221","310B",1
"222","310B, 310C, 310D, 310E USAF U-3B",1
"223","310C",1
"224","310D",1
"225","310E USAF U-3B",1
"226","328 Support Services GmbH Do328-100",1
"227","328 Support Services GmbH Dornier Model 328-100",2
"228","328 Support Services GmbH Dornier Model 328-300",1
"229","328 Support Services GMBH Dornier Model 328-300",1
"230","328 Support Services GmBH Dornier Model 328-300 With Honeywell APU Model GTCP36-150[DD] Installed.",1
"231","35",1
"232","35A",1
"233","36",2
"234","369A Army OH-6A",1
"235","369D",2
"236","369E",2
"237","369F",2
"238","369FF",2
"239","369HE",2
"240","369HM",2
"241","369HS",2
"242","36A",2
"243","385-1-14",1
"244","385-1-14, 385-1-15, 385-3 TC A23WE",1
"245","385-1-15",1
"246","385-3",1
"247","407",1
"248","45",1
"249","500-S when modified per STC SA585SW",1
"250","500N",2
"251","525  , 525 CJ",1
"252","525  , 525 CJ1",1
"253","525  , 525 CJ1+",1
"254","525A CJ2",1
"255","525A CJ2+",1
"256","55",1
"257","55B",1
"258","55C",1
"259","56TC",3
"260","58",4
"261","58, 58A sns TH-1",1
"262","58, 58A up",1
"263","58A",4
"264","58TC",3
"265","58TCA",4
"266","60",1
"267","700-4E MD-11",1
"268","700-5 A300",2
"269","710] True Flight Holdings LLC [AA-5",1
"270","717-200",19
"271","727-100",1
"272","727-100C",1
"273","727C",1
"274","737-222, -291, -2A1 UAL STC SA2708NM-D",1
"275","737 TC A16WE",1
"276","747SP, 747-100, -200B UAL STC SA2745NM-D",1
"277","767-222 UAL STC SA2712NM-D",1
"278","77] Fuji Heavy Industries [700",1
"279","7CCM",3
"280","7CCM Army L-16B",1
"281","7DC",3
"282","7EC",3
"283","7ECA",2
"284","7ECS",1
"285","7FC",3
"286","7GC",3
"287","7GCA",3
"288","7GCAA",3
"289","7GCB",3
"290","7GCBA",3
"291","7GCBC",3
"292","7HC",3
"293","7JC",3
"294","7KC",3
"295","7KCAB",3
"296","82",1
"297","83",1
"298","8GCBC",2
"299","8KCAB",2
"300","A 319 [ All Series ]",1
"301","A 320 [ All Series ]",2
"302","A 320 [ All Series ]- 203",1
"303","A 320 [ All Series ]- 223",1
"304","A 320 [ All Series ]- 301",1
"305","A 320 [ All Series ]- 312",1
"306","A 320 [ All Series ]- 322",1
"307","A 320 [ All Series ]- 341",1
"308","A 320 [ All Series ]- 343",1
"309","A 320 [ All Series ]- 541",1
"310","A 320 [ All Series ]-243",1
"311","A 320 [ All Series ]-311",1
"312","A 320 [ All Series ]-313",1
"313","A 320 [ All Series ]-321",1
"314","A 320 [ All Series ]-323",1
"315","A 320 [ All Series ]-342",1
"316","A 320 [ All Series ]-642",1
"317","A 320 [All Series]",1
"318","A 321 [ All Series ]",2
"319","A 321 [All Series]",1
"320","A 330 -202",1
"321","A 340 -211",1
"322","A100",2
"323","A10SW 36A",2
"324","A10SW MU-2B-26A",2
"325","A150M,150M,172M,172N,172P,172Q,172R, 172S,R172K,182P ON",1
"326","A150M,150M,172M,172N,172P,172Q,172R, 172S,R172K,182P S/N 18263476",1
"327","A200",2
"328","A200 S/N BC-1 , up, BD-1 , up, 200T S/N BT-1 , up A200C aka UC-12B",1
"329","A200C",1
"330","A200CT",2
"331","A319",1
"332","A320",1
"333","A320 [ All Series ]",1
"334","A320 [ All Series ]-203",1
"335","A320 [ All Series ]-223",1
"336","A320 [ All Series ]-243",1
"337","A320 [ All Series ]-301",1
"338","A320 [ All Series ]-311",1
"339","A320 [ All Series ]-312",1
"340","A320 [ All Series ]-313",1
"341","A320 [ All Series ]-321",1
"342","A320 [ All Series ]-322",1
"343","A320 [ All Series ]-323",1
"344","A320 [ All Series ]-341",1
"345","A320 [ All Series ]-342",1
"346","A320 [ All Series ]-343",1
"347","A320 [ All Series ]-541",1
"348","A320 [ All Series ]-642",1
"349","A321",1
"350","A321 [ All Series ]",1
"351","A330-202",1
"352","A330-301 A46NM",1
"353","A330 [all series]",1
"354","A340-211",1
"355","A340-211,-212, -213,-311,-312, -313 A43NM",3
"356","A340-211,-212, -213,-311,-312, -313, A43NM",1
"357","A340-211, -212, -213, -311, -312, -313 A43NM",1
"358","A340-211, -212, -213, -311, -312, -313, -541, -642 A43NM",1
"359","A340-211, -212, -311, -312 A43NM",1
"360","A340-211, -311 TC A43NM",1
"361","A340-212",2
"362","A340-212, -312, A330-301 TC A46NM",1
"363","A340-312",2
"364","A340 [all series]",1
"365","A56TC",6
"366","A75 Army PT-13A",2
"367","A75 Army PT-13B",2
"368","A75 Army PT-13C",2
"369","A75J1 Army PT-18",2
"370","A75L300 A75N1 Army PT-17",1
"371","A75L300 A75N1 Army PT-17A",1
"372","A75L300 A75N1 Army PT-4",1
"373","A75L300 A75N1 Navy N2S-1",1
"374","A75L300, A75N1 Army PT-17",1
"375","A75L300, A75N1 Army PT-17A",1
"376","A75L300, A75N1 Army PT-4",1
"377","A75L300, A75N1 Navy N2S-1",1
"378","AA-1A",1
"379","AA-1B",1
"380","AA-1C",1
"381","AERMACCHI S.p.A. [SIAI-Marchetti] 208",1
"382","AERMACCHI S.p.A. [SIAI-Marchetti] S.205 - 18/F",1
"383","AERMACCHI S.p.A. [SIAI-Marchetti] S.205 - 18/R",1
